t_s,num_requests_running,num_requests_waiting,kv_cache_usage_perc,repeat_id,mode,background_offered_rps
31.531553083998006,254.0,60.0,0.2643579633121893,native-rep2,native,16.0
32.0596054589987,251.0,53.0,0.2515000857191839,native-rep2,native,16.0
32.581014425999456,253.0,48.0,0.2578433053317333,native-rep2,native,16.0
33.08468324599744,253.0,49.0,0.2688153608777645,native-rep2,native,16.0
33.60407842799759,254.0,48.0,0.28167323847076975,native-rep2,native,16.0
34.11070731699874,254.0,49.0,0.29264529401680095,native-rep2,native,16.0
34.61522433599748,253.0,50.0,0.30293159609120524,native-rep2,native,16.0
35.119243385997834,254.0,51.0,0.31476084347677014,native-rep2,native,16.0
35.62527245099773,253.0,53.0,0.32710440596605517,native-rep2,native,16.0
36.13453010000012,253.0,54.0,0.3377335847762729,native-rep2,native,16.0
36.63795962199947,255.0,55.0,0.35007714726555805,native-rep2,native,16.0
37.15039042999706,252.0,52.0,0.3421909823418481,native-rep2,native,16.0
37.65695935199983,253.0,44.0,0.3325904337390708,native-rep2,native,16.0
38.16203227099686,253.0,42.0,0.3312189267958169,native-rep2,native,16.0
38.68060042799698,254.0,37.0,0.32264700840048,native-rep2,native,16.0
39.19882981599949,252.0,33.0,0.3149322818446768,native-rep2,native,16.0
39.704521401999955,252.0,22.0,0.30104577404423105,native-rep2,native,16.0
40.217977546999464,252.0,8.0,0.2888736499228527,native-rep2,native,16.0
40.738090188999195,252.0,1.0,0.2869878278758786,native-rep2,native,16.0
41.24785838999742,242.0,0.0,0.27430138865078,native-rep2,native,16.0
41.758098055997834,228.0,0.0,0.25715755186010625,native-rep2,native,16.0
42.27426807399752,208.0,0.0,0.23264186524944286,native-rep2,native,16.0
42.78755454699785,189.0,0.0,0.212926452940168,native-rep2,native,16.0
43.297997898000176,177.0,0.0,0.21498371335504884,native-rep2,native,16.0
43.81528627499938,168.0,0.0,0.21858391908109032,native-rep2,native,16.0
44.32891434299745,165.0,0.0,0.2256128921652666,native-rep2,native,16.0
44.84028961899821,165.0,0.0,0.23281330361734953,native-rep2,native,16.0
45.35786958300014,164.0,0.0,0.24224241385222012,native-rep2,native,16.0
45.87219740599903,164.0,0.0,0.250814332247557,native-rep2,native,16.0
46.387514199999714,161.0,0.0,0.2516715240870907,native-rep2,native,16.0
46.896955606996926,157.0,0.0,0.2473855648894222,native-rep2,native,16.0
47.40800946499803,141.0,0.0,0.21566946682667576,native-rep2,native,16.0
